data;ds_cardapio;num_refeicao_ru;num_refeicao_rl;num_refeicao_rs;num_refeicoes_planejadas;num_refeicoes_servidas
15/02/2012;NUGGETS FRITO - NHOQUE AO SUGO - ARROZ BRANCO - FEIJÃO - PTS -  - LARANJA - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;1020.00;0.00;0.00;1.020.000;901.000
16/02/2012;ROLÊ DE CARNE AO MOLHO DE TOMATE -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE ALFACE LISA - MAÇA - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO -  -  - TEMPERO SELF - ;5700.00;0.00;0.00;5.700.000;4.537.000
16/02/2012;BIFE AO MOLHO DE LARANJA - FAROFA BRASILEIRA - ARROZ BRANCO - FEIJÃO - PTS - BERINJELA CURTIDA - BANANA - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;1100.00;0.00;0.00;1.100.000;662.000
17/02/2012;PEIXE FRITO -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE CENOURA COM VAGEM - LARANJA - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;5700.00;0.00;0.00;5.700.000;4.272.000
17/02/2012;ROLÊ DE FRANGO AO MOLHO BRANCO -  - ARROZ BRANCO - FEIJÃO -  - MOLHO VINAGRETE - CAFÉ NA MÁQUINA -  - ;1500.00;0.00;0.00;1.500.000;489.000
23/02/2012;MOQUECA DE PEIXE -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE CHICÓRIA - MAÇA - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;1700.00;0.00;0.00;1.700.000;671.000
23/02/2012;QUIBE - BATATA COM QUEIJO - ARROZ BRANCO - FEIJÃO - PTS -  - LARANJA - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;5700.00;0.00;0.00;5.700.000;4.727.000
24/02/2012;QUIBE - CENOURA SAUTEE - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE ACELGA - LARANJA - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;1500.00;0.00;0.00;1.500.000;705.000
24/02/2012;SALSICHA ACEBOLADA -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE REPOLHO BICOLOR -  - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO -  -  - TEMPERO SELF - DOCE DE GOIABA EM PASTA COM 35G;5700.00;0.00;0.00;5.700.000;4.681.000
27/02/2012;BIFE AO MOLHO INGLÊS -  - ARROZ BRANCO - FEIJÃO - PTS - SALADA DE CENOURA - BANANA - CAFÉ NA MÁQUINA , CHÁ MATTE SOLÚVEL COM LIMÃO - MOLHO VINAGRETE -  - TEMPERO SELF - ;7500.00;0.00;0.00;7.500.000;7.165.000
